1.32;3683.60;3593.70;4.459;4.509;31.626;288.20;164.94
1.33;3714.30;3623.80;4.460;4.509;31.404;288.48;164.94
1.34;3745.10;3653.80;4.460;4.509;31.185;288.76;164.95
1.35;3775.90;3683.80;4.460;4.509;30.969;289.04;164.96
1.36;3806.70;3713.90;4.461;4.508;30.757;289.31;164.97
1.37;3837.50;3743.90;4.461;4.508;30.548;289.57;164.97
1.38;3868.40;3774.00;4.462;4.508;30.342;289.84;164.98
1.39;3899.20;3804.10;4.462;4.508;30.140;290.10;164.99
1.40;3930.10;3834.20;4.463;4.507;29.939;290.34;165.00
1.41;3960.90;3864.30;4.463;4.506;29.741;290.58;165.00
1.42;3991.80;3894.50;4.463;4.505;29.546;290.82;165.01
1.43;4022.70;3924.60;4.464;4.504;29.354;291.06;165.02
1.44;4053.60;3954.80;4.464;4.503;29.165;291.30;165.02
1.45;4084.60;3984.90;4.464;4.502;28.979;291.54;165.03
1.46;4115.50;4015.10;4.465;4.501;28.795;291.78;165.04
1.47;4146.40;4045.30;4.465;4.500;28.615;292.02;165.05
1.48;4177.40;4075.50;4.466;4.499;28.437;292.25;165.05
1.49;4208.40;4105.70;4.466;4.498;28.262;292.49;165.06
1.50;4239.40;4136.00;4.466;4.497;28.089;292.73;165.07
1.51;4270.40;4166.20;4.466;4.496;27.919;292.97;165.08
1.52;4301.40;4196.50;4.467;4.495;27.751;293.21;165.08
1.53;4332.40;4226.80;4.467;4.494;27.586;293.45;165.09
1.54;4363.50;4257.00;4.467;4.493;27.423;293.68;165.10
1.55;4394.50;4287.30;4.468;4.492;27.262;293.92;165.10
1.56;4425.60;4317.60;4.468;4.491;27.104;294.16;165.11
1.57;4456.70;4348.00;4.468;4.490;26.947;294.39;165.12
1.58;4487.80;4378.30;4.468;4.489;26.793;294.62;165.13
1.59;4518.90;4408.60;4.469;4.488;26.641;294.86;165.13
1.60;4550.00;4439.00;4.469;4.487;26.490;295.09;165.14
1.61;4581.10;4469.40;4.469;4.487;26.342;295.32;165.15
1.62;4612.30;4499.80;4.469;4.486;26.196;295.56;165.15
1.63;4643.40;4530.20;4.469;4.485;26.052;295.79;165.16
1.64;4674.60;4560.60;4.469;4.484;25.910;296.02;165.16
1.65;4705.80;4591.00;4.470;4.484;25.770;296.25;165.17
1.66;4736.90;4621.40;4.470;4.483;25.631;296.48;165.17
1.67;4768.20;4651.90;4.470;4.482;25.494;296.71;165.18
1.68;4799.40;4682.30;4.470;4.482;25.360;296.94;165.18
1.69;4830.60;4712.80;4.470;4.481;25.226;297.16;165.19
1.70;4861.80;4743.30;4.470;4.481;25.095;297.39;165.19
1.71;4893.10;4773.70;4.470;4.481;24.965;297.61;165.20
1.72;4924.40;4804.30;4.470;4.480;24.837;297.84;165.20
1.73;4955.60;4834.80;4.471;4.480;24.711;298.06;165.20
1.74;4986.90;4865.30;4.471;4.480;24.586;298.29;165.21
1.75;5018.20;4895.80;4.471;4.479;24.463;298.51;165.21
1.76;5049.50;4926.40;4.471;4.479;24.341;298.74;165.22
1.77;5080.90;4957.00;4.471;4.479;24.221;298.96;165.22
1.78;5112.20;4987.50;4.471;4.479;24.103;299.19;165.23
1.79;5143.60;5018.10;4.471;4.478;23.985;299.41;165.23
1.80;5174.90;5048.70;4.471;4.478;23.870;299.63;165.24
1.81;5206.30;5079.30;4.471;4.476;23.754;299.84;165.24
1.82;5237.70;5110.00;4.471;4.475;23.639;300.04;165.25
1.83;5269.10;5140.60;4.471;4.473;23.526;300.24;165.25
1.84;5300.50;5171.20;4.472;4.471;23.414;300.44;165.26
1.85;5331.90;5201.90;4.472;4.470;23.302;300.64;165.26
1.86;5363.40;5232.60;4.472;4.469;23.193;300.84;165.27
1.87;5394.80;5263.20;4.472;4.467;23.084;301.04;165.27
1.88;5426.30;5293.90;4.472;4.466;22.977;301.24;165.27
1.89;5457.70;5324.60;4.472;4.464;22.871;301.44;165.28
1.90;5489.20;5355.30;4.472;4.463;22.767;301.63;165.28
1.91;5520.70;5386.10;4.472;4.461;22.660;301.82;165.29
1.92;5552.20;5416.80;4.472;4.460;22.550;302.00;165.29
1.93;5583.70;5447.50;4.472;4.458;22.440;302.19;165.30
1.94;5615.20;5478.30;4.472;4.457;22.332;302.37;165.30
1.95;5646.70;5509.00;4.472;4.455;22.226;302.55;165.31
1.96;5678.30;5539.80;4.472;4.454;22.120;302.73;165.31
1.97;5709.80;5570.50;4.472;4.452;22.016;302.92;165.32
1.98;5741.30;5601.30;4.472;4.450;21.913;303.10;165.32
1.99;5772.90;5632.10;4.472;4.449;21.811;303.27;165.33
2.00;5804.40;5662.90;4.471;4.447;21.710;303.45;165.33
2.01;5836.00;5693.70;4.471;4.445;21.610;303.62;165.33
2.02;5867.60;5724.50;4.471;4.444;21.511;303.80;165.34
2.03;5899.20;5755.30;4.471;4.442;21.414;303.97;165.34
2.04;5930.70;5786.10;4.471;4.441;21.317;304.16;165.35
2.05;5962.30;5816.90;4.471;4.441;21.222;304.36;165.35
2.06;5993.90;5847.70;4.471;4.441;21.128;304.55;165.36
2.07;6025.50;5878.60;4.471;4.440;21.034;304.74;165.36
2.08;6057.20;5909.40;4.471;4.440;20.942;304.93;165.37
2.09;6088.80;5940.30;4.471;4.439;20.850;305.12;165.37
2.10;6120.40;5971.10;4.471;4.439;20.760;305.31;165.38
