3.0;[0,0.267,0.533,0.8,1.068,1.334,1.604,1.871,2.138,2.405,2.671,2.934,3.196,3.455,3.708,3.956,4.195,4.424,4.639,4.841,5.033,5.215,5.387,5.551,5.708,5.857,6,6.136,6.267,6.393,6.514,6.63,6.742,6.849,6.953,7.053,7.15,7.243,7.333,7.42,7.505,7.586,7.666,7.743,7.818,7.89,7.961,8.029,8.095,8.159,8.222,8.283,8.343,8.402,8.459,8.516,8.573,8.629,8.679,8.724,8.764,8.799,8.829,8.854,8.874,8.891,8.905,8.916,8.923,8.925,8.924,8.92,8.911,8.899,8.883,8.863,8.839,8.812,8.782,8.749,8.713,8.673,8.63,8.584,8.536,8.484,8.43,8.374,8.315,8.253,8.189]
3.2;[0,0.254,0.507,0.76,1.015,1.268,1.524,1.78,2.035,2.289,2.544,2.797,3.049,3.299,3.546,3.789,4.027,4.256,4.476,4.685,4.882,5.068,5.247,5.416,5.578,5.733,5.881,6.023,6.159,6.29,6.416,6.537,6.654,6.767,6.876,6.982,7.083,7.182,7.278,7.37,7.46,7.547,7.632,7.715,7.795,7.874,7.951,8.025,8.098,8.169,8.239,8.306,8.373,8.439,8.504,8.568,8.628,8.682,8.73,8.773,8.812,8.846,8.875,8.9,8.92,8.937,8.95,8.959,8.964,8.966,8.963,8.957,8.947,8.933,8.915,8.894,8.869,8.841,8.81,8.775,8.737,8.695,8.651,8.603,8.553,8.5,8.445,8.386,8.325,8.262,8.196]
3.4;[0,0.242,0.484,0.726,0.969,1.211,1.456,1.7,1.944,2.188,2.432,2.676,2.919,3.161,3.401,3.639,3.872,4.101,4.322,4.535,4.738,4.929,5.113,5.288,5.455,5.615,5.768,5.915,6.057,6.193,6.324,6.45,6.572,6.69,6.804,6.915,7.022,7.125,7.226,7.324,7.419,7.511,7.601,7.689,7.775,7.859,7.942,8.022,8.101,8.179,8.255,8.329,8.403,8.475,8.545,8.61,8.669,8.722,8.769,8.81,8.848,8.88,8.909,8.934,8.955,8.972,8.985,8.993,8.997,8.998,8.994,8.987,8.975,8.96,8.941,8.919,8.893,8.863,8.831,8.794,8.755,8.713,8.667,8.619,8.568,8.514,8.457,8.397,8.335,8.271,8.207]
3.6;[0,0.232,0.464,0.696,0.93,1.161,1.396,1.63,1.864,2.099,2.334,2.569,2.805,3.039,3.271,3.503,3.732,3.958,4.179,4.394,4.601,4.797,4.986,5.166,5.338,5.503,5.661,5.813,5.959,6.1,6.236,6.368,6.495,6.618,6.736,6.852,6.964,7.072,7.178,7.281,7.381,7.478,7.574,7.667,7.758,7.847,7.935,8.021,8.105,8.189,8.271,8.352,8.431,8.507,8.577,8.64,8.697,8.749,8.796,8.837,8.874,8.906,8.934,8.959,8.98,8.997,9.01,9.019,9.023,9.022,9.017,9.009,8.996,8.98,8.961,8.937,8.911,8.88,8.847,8.81,8.77,8.727,8.681,8.632,8.58,8.525,8.467,8.407,8.347,8.285,8.223]
3.8;[0,0.223,0.447,0.67,0.895,1.118,1.344,1.569,1.795,2.021,2.248,2.475,2.702,2.93,3.156,3.381,3.606,3.828,4.047,4.261,4.47,4.671,4.865,5.049,5.226,5.396,5.559,5.716,5.867,6.013,6.153,6.29,6.421,6.549,6.672,6.793,6.909,7.023,7.133,7.241,7.346,7.448,7.548,7.646,7.742,7.837,7.929,8.02,8.11,8.199,8.287,8.373,8.454,8.529,8.597,8.659,8.716,8.767,8.814,8.855,8.892,8.925,8.954,8.979,8.999,9.015,9.028,9.036,9.04,9.039,9.033,9.024,9.012,8.995,8.975,8.952,8.924,8.893,8.859,8.822,8.782,8.739,8.692,8.642,8.59,8.535,8.478,8.421,8.363,8.304,8.244]
4.0;[0,0.216,0.432,0.647,0.864,1.08,1.298,1.515,1.733,1.952,2.172,2.392,2.612,2.832,3.053,3.273,3.492,3.71,3.926,4.139,4.348,4.551,4.749,4.938,5.119,5.294,5.461,5.623,5.779,5.929,6.074,6.215,6.351,6.484,6.612,6.737,6.858,6.976,7.091,7.203,7.313,7.42,7.525,7.628,7.729,7.828,7.926,8.022,8.117,8.211,8.302,8.388,8.467,8.541,8.608,8.67,8.726,8.778,8.824,8.866,8.904,8.938,8.967,8.992,9.012,9.028,9.04,9.046,9.049,9.048,9.043,9.035,9.022,9.005,8.985,8.961,8.934,8.903,8.87,8.833,8.792,8.748,8.701,8.651,8.6,8.547,8.494,8.439,8.384,8.327,8.269]
4.2;[0,0.209,0.418,0.627,0.837,1.046,1.257,1.468,1.679,1.891,2.104,2.317,2.531,2.746,2.96,3.175,3.39,3.603,3.816,4.027,4.235,4.438,4.638,4.831,5.017,5.196,5.368,5.534,5.694,5.849,5.999,6.144,6.285,6.422,6.555,6.684,6.81,6.932,7.052,7.169,7.283,7.394,7.504,7.612,7.717,7.821,7.923,8.024,8.124,8.22,8.31,8.395,8.473,8.546,8.613,8.674,8.731,8.783,8.829,8.872,8.91,8.945,8.974,8.999,9.019,9.034,9.045,9.051,9.055,9.054,9.049,9.041,9.028,9.012,8.992,8.968,8.941,8.91,8.876,8.839,8.798,8.755,8.709,8.662,8.614,8.564,8.513,8.461,8.407,8.351,8.294]
4.4;[0,0.203,0.406,0.609,0.813,1.016,1.222,1.426,1.632,1.837,2.044,2.251,2.46,2.669,2.878,3.087,3.297,3.507,3.716,3.924,4.13,4.333,4.534,4.729,4.919,5.102,5.279,5.449,5.614,5.773,5.927,6.077,6.222,6.363,6.5,6.634,6.764,6.891,7.015,7.136,7.255,7.371,7.485,7.597,7.707,7.816,7.923,8.028,8.129,8.224,8.312,8.395,8.473,8.545,8.611,8.673,8.73,8.782,8.83,8.873,8.912,8.946,8.975,9,9.02,9.035,9.046,9.054,9.057,9.057,9.052,9.043,9.031,9.015,8.995,8.972,8.945,8.914,8.88,8.843,8.803,8.762,8.72,8.675,8.63,8.583,8.535,8.484,8.432,8.377,8.321]
4.6;[0,0.198,0.396,0.593,0.792,0.99,1.19,1.389,1.589,1.79,1.991,2.193,2.396,2.6,2.804,3.009,3.214,3.42,3.625,3.83,4.034,4.236,4.437,4.633,4.825,5.012,5.193,5.368,5.536,5.7,5.858,6.012,6.162,6.307,6.449,6.586,6.721,6.852,6.98,7.106,7.229,7.349,7.468,7.584,7.699,7.812,7.922,8.028,8.128,8.222,8.309,8.391,8.467,8.539,8.605,8.667,8.724,8.777,8.826,8.869,8.908,8.942,8.971,8.996,9.016,9.033,9.045,9.053,9.056,9.055,9.05,9.042,9.03,9.014,8.995,8.972,8.945,8.915,8.882,8.847,8.811,8.773,8.733,8.692,8.649,8.604,8.557,8.508,8.456,8.403,8.348]
4.8;[0,0.193,0.386,0.579,0.773,0.967,1.162,1.356,1.552,1.747,1.944,2.141,2.339,2.538,2.738,2.938,3.14,3.341,3.543,3.745,3.946,4.147,4.347,4.543,4.737,4.926,5.111,5.289,5.462,5.63,5.793,5.951,6.104,6.254,6.399,6.541,6.68,6.815,6.948,7.078,7.205,7.33,7.452,7.573,7.692,7.808,7.92,8.024,8.123,8.215,8.301,8.382,8.458,8.529,8.595,8.657,8.715,8.768,8.817,8.861,8.901,8.935,8.964,8.989,9.01,9.027,9.04,9.048,9.051,9.051,9.046,9.038,9.027,9.011,8.992,8.97,8.944,8.916,8.886,8.855,8.821,8.786,8.749,8.71,8.668,8.625,8.579,8.532,8.481,8.428,8.371]
